UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
31,M44678,M,297.0,307.3,1364,44.7,204,0,0,0,0,0,0
32,L97802,L,297.4,307.7,1775,40.8,212,0,0,0,0,0,0
33,L86286,L,302.6,312.5,1765,21.1,179,0,0,0,0,0,0
34,H39583,H,299.1,309.8,1526,32.7,164,0,0,0,0,0,0
35,H18076,H,300.0,309.9,1957,32.3,152,0,0,0,0,0,0
36,M28006,M,295.9,305.5,1620,56.7,38,0,0,0,0,0,0
37,L25051,L,297.4,308.5,1339,45.3,194,0,0,0,0,0,0
38,L14314,L,301.2,310.7,1488,41.3,146,0,0,0,0,0,0
39,M38670,M,300.8,311.6,1538,2.9,70,0,0,0,0,0,0
40,L77551,L,303.5,314.6,1553,20.9,208,0,0,0,0,0,0
41,L20236,L,302.7,313.3,1761,47.1,76,0,0,0,0,0,0
42,L45568,L,299.5,308.3,1366,47.7,23,0,0,0,0,0,0
43,L70314,L,300.9,311.0,1299,32.5,178,0,0,0,0,0,0
44,H26352,H,299.4,309.2,1645,40.2,44,0,0,0,0,0,0
45,L55650,L,304.1,313.6,1447,39.5,7,0,0,0,0,0,0
46,M20346,M,302.3,312.4,1971,41.6,199,0,0,0,0,0,0
47,L35156,L,300.3,311.1,1706,36.2,172,0,0,0,0,0,0
48,L65904,L,300.4,309.9,1443,48.0,129,0,0,0,0,0,0
49,L24035,L,302.9,312.7,1755,50.9,157,0,0,0,0,0,0
50,L26108,L,301.2,310.9,1668,30.3,66,0,0,0,0,0,0
51,H12853,H,303.1,314.3,1651,28.0,172,0,0,0,0,0,0
52,M94156,M,295.6,305.4,1516,32.0,153,0,0,0,0,0,0
53,H14176,H,300.9,309.7,1613,40.4,16,0,0,0,0,0,0
54,M35920,M,299.0,307.4,1161,43.4,37,1,0,1,0,0,0
55,L64850,L,303.5,313.9,1773,47.8,66,0,0,0,0,0,0
56,H16829,H,303.1,312.3,922,49.6,56,0,0,0,0,0,0
57,L83927,L,300.1,310.7,1458,43.5,160,0,0,0,0,0,0
58,L94860,L,303.1,311.7,1252,42.2,93,0,0,0,0,0,0
59,L50667,L,303.6,313.0,1448,56.3,206,1,0,0,0,1,0
60,L75842,L,300.1,308.8,1524,39.9,71,0,0,0,0,0,0
61,L45843,L,304.9,315.4,1323,45.8,93,0,0,0,0,0,0
62,L60808,L,299.9,310.6,1041,43.1,63,0,0,0,0,0,0
63,M40543,M,299.6,309.9,1575,38.2,22,0,0,0,0,0,0
64,L82780,L,301.7,310.6,1911,38.2,11,0,0,0,0,0,0
65,L16611,L,299.3,308.5,1475,53.1,102,0,0,0,0,0,0
66,L98242,L,300.2,310.4,1709,39.0,239,0,0,0,0,0,0
67,L94612,L,302.8,311.1,1807,36.4,7,0,0,0,0,0,0
68,M56902,M,300.0,309.8,1197,32.6,200,0,0,0,0,0,0
69,L43043,L,296.6,308.1,1456,44.1,199,0,0,0,0,0,0
70,H15271,H,300.7,310.6,1309,34.8,37,0,0,0,0,0,0
71,M82867,M,298.6,307.1,1393,43.2,32,0,0,0,0,0,0
72,L87089,L,301.7,311.1,1842,41.7,175,0,0,0,0,0,0
73,L68745,L,301.4,310.8,1578,35.6,96,0,0,0,0,0,0
74,M72077,M,302.9,315.1,1679,26.0,44,0,0,0,0,0,0
75,M69119,M,301.8,313.5,1530,29.6,74,0,0,0,0,0,0
76,M21573,M,302.2,312.9,1321,31.2,150,0,0,0,0,0,0
77,M31409,M,298.7,308.3,1659,29.9,106,0,0,0,0,0,0
78,L95970,L,301.6,312.8,1762,44.4,242,0,0,0,0,0,0
79,L34464,L,303.9,312.8,1594,61.1,114,0,0,0,0,0,0
80,L52840,L,298.6,309.7,1625,34.8,42,0,0,0,0,0,0
81,M58785,M,303.6,314.5,1316,36.1,24,0,0,0,0,0,0
82,M30662,M,298.9,308.7,1664,34.1,14,0,0,0,0,0,0
83,L28228,L,298.3,309.4,1778,48.4,9,0,0,0,0,0,0
84,L70721,L,300.6,310.1,1610,44.1,147,0,0,0,0,0,0
85,L59223,L,301.4,310.2,1216,39.7,15,0,0,0,0,0,0
86,L17386,L,301.8,312.8,1830,27.8,98,0,0,0,0,0,0
87,M16862,M,298.1,308.0,1368,30.3,124,0,0,0,0,0,0
88,M50108,M,300.9,311.5,1607,41.6,97,0,0,0,0,0,0
89,M85023,M,298.6,310.4,1708,42.1,212,0,0,0,0,0,0
90,L90140,L,297.0,306.3,1731,39.7,56,0,0,0,0,0,0
91,L92963,L,298.1,308.0,1215,46.5,45,0,0,0,0,0,0
92,M37201,M,298.5,310.1,1558,27.7,110,0,0,0,0,0,0
93,M78578,M,301.0,311.7,1547,42.9,123,0,0,0,0,0,0
94,L59966,L,302.3,311.6,1795,42.4,247,0,0,0,0,0,0
95,M64774,M,297.1,306.1,1620,30.4,231,0,0,0,0,0,0
96,L20386,L,300.7,310.2,1797,33.9,128,0,0,0,0,0,0
97,L87228,L,297.6,306.9,1634,46.8,24,0,0,0,0,0,0
98,L25225,L,301.3,311.5,1524,28.6,55,0,0,0,0,0,0
99,L26693,L,298.8,308.8,1572,64.4,45,0,0,0,0,0,0
100,L82197,L,297.9,308.2,1810,45.4,186,0,0,0,0,0,0
101,L53021,L,301.6,310.8,1305,39.3,189,0,0,0,0,0,0
102,M28261,M,298.8,308.8,1700,37.4,205,0,0,0,0,0,0
103,L37378,L,299.4,307.3,1425,47.8,188,0,0,0,0,0,0
104,L96755,L,295.6,305.7,1387,35.8,210,0,0,0,0,0,0
105,H21937,H,301.9,313.1,1721,36.2,7,0,0,0,0,0,0
106,L76330,L,301.6,310.2,1379,54.4,40,1,0,1,0,0,0
107,L57366,L,300.0,310.5,1605,35.2,142,0,0,0,0,0,0
108,M82322,M,296.9,306.3,1450,41.3,43,0,0,0,0,0,0
109,L50160,L,302.4,313.2,1116,32.3,81,0,0,0,0,0,0
110,L55313,L,298.7,308.8,1623,42.5,128,0,0,0,0,0,0
111,L37032,L,299.1,309.5,1560,45.7,110,0,0,0,0,0,0
112,L27358,L,304.6,314.7,1196,56.7,224,1,0,0,1,1,0
113,H71710,H,298.6,309.9,1412,30.6,192,0,0,0,0,0,0
114,M96157,M,301.5,311.8,1214,25.5,116,0,0,0,0,0,0
115,M58821,M,301.1,310.4,1668,37.2,161,0,0,0,0,0,0
116,M38365,M,300.8,310.9,1786,33.8,131,0,0,0,0,0,0
117,M23189,M,300.6,310.2,1690,39.7,80,0,0,0,0,0,0
118,L86749,L,300.8,310.9,1715,45.1,129,0,0,0,0,0,0
119,M17248,M,300.5,310.1,1445,62.5,166,0,0,0,0,0,0
120,L14369,L,299.9,309.2,1635,35.4,248,0,0,0,0,0,0
121,M73763,M,303.0,313.2,1536,17.9,181,0,0,0,0,0,0
122,M18050,M,297.4,307.4,1571,37.5,137,0,0,0,0,0,0
123,L38605,L,302.0,313.1,1709,43.4,41,0,0,0,0,0,0
124,L59616,L,301.6,311.2,1748,30.2,44,0,0,0,0,0,0
125,L64479,L,301.4,309.4,1468,42.2,100,0,0,0,0,0,0
126,L90934,L,302.2,311.9,1286,41.3,153,0,0,0,0,0,0
127,M50883,M,299.8,308.2,1504,42.5,26,0,0,0,0,0,0
128,M43055,M,296.3,306.7,1498,47.8,166,0,0,0,0,0,0
129,L78731,L,299.9,308.2,1588,39.1,152,0,0,0,0,0,0
130,L17450,L,298.0,307.0,1687,45.4,28,0,0,0,0,0,0
131,L12925,L,298.5,308.2,1195,22.0,109,0,0,0,0,0,0
132,L90051,L,297.5,309.1,1417,30.3,209,0,0,0,0,0,0
133,L60272,L,299.0,308.0,1365,36.5,21,0,0,0,0,0,0
134,L15310,L,298.8,308.8,1761,29.9,114,0,0,0,0,0,0
135,H41817,H,295.2,305.8,1500,40.0,89,0,0,0,0,0,0
136,L54528,L,301.4,312.9,1446,36.5,187,0,0,0,0,0,0
137,L65779,L,304.4,315.2,1634,35.4,89,0,0,0,0,0,0
138,M94816,M,301.2,312.3,1431,48.7,179,0,0,0,0,0,0
139,L92641,L,299.6,310.5,1535,40.7,84,0,0,0,0,0,0
140,H94083,H,299.9,308.7,1862,29.1,148,0,0,0,0,0,0
141,H86310,H,299.2,309.5,1857,33.9,105,0,0,0,0,0,0
142,L25457,L,300.2,311.0,1465,47.4,135,0,0,0,0,0,0
143,L52311,L,299.9,309.0,1505,41.9,116,0,0,0,0,0,0
144,L13980,L,298.3,307.7,1427,51.8,65,0,0,0,0,0,0
145,L30886,L,303.4,312.6,1193,48.3,237,1,0,0,0,1,0
146,L87112,L,297.0,307.8,1723,36.0,225,0,0,0,0,0,0
147,M60877,M,301.4,311.4,1971,54.2,203,0,0,0,0,0,0
148,L46181,L,299.8,309.5,1458,55.0,112,0,0,0,0,0,0
149,L43262,L,303.8,312.5,1391,22.1,17,0,0,0,0,0,0
150,L10947,L,300.7,310.6,1489,40.2,80,0,0,0,0,0,0
151,H10022,H,299.3,308.7,1553,34.4,142,0,0,0,0,0,0
152,L11128,L,299.5,309.7,1334,37.3,2,0,0,0,0,0,0
153,L89522,L,300.1,308.9,1455,31.8,84,0,0,0,0,0,0
154,L42322,L,297.7,307.9,1719,30.5,82,0,0,0,0,0,0
155,H58929,H,298.5,308.0,1560,48.9,58,0,0,0,0,0,0
156,L91696,L,296.4,305.2,1765,28.3,182,0,0,0,0,0,0
157,M19808,M,298.2,306.8,1603,40.8,121,0,0,0,0,0,0
158,M62882,M,300.2,309.0,1343,26.5,159,0,0,0,0,0,0
159,L31725,L,300.6,310.4,1434,52.5,10,0,0,0,0,0,0
160,M82534,M,296.0,306.2,1582,40.2,209,0,0,0,0,0,0
161,L49950,L,299.7,310.0,1337,47.3,180,0,0,0,0,0,0
162,M98954,M,301.1,311.4,1313,41.8,156,0,0,0,0,0,0
163,M93576,M,299.7,308.9,1324,37.4,66,0,0,0,0,0,0
164,L30557,L,298.7,309.8,1630,40.6,241,0,0,0,0,0,0
165,L31825,L,299.2,308.7,1472,54.9,131,0,0,0,0,0,0
166,M18998,M,298.9,309.4,1749,31.0,219,0,0,0,0,0,0
167,L46080,L,298.7,308.6,1377,14.5,136,0,0,0,0,0,0
168,L67797,L,300.3,310.7,1098,32.1,56,0,0,0,0,0,0
169,L25802,L,304.6,314.4,1514,27.9,165,0,0,0,0,0,0
170,L21167,L,298.5,308.9,1832,49.5,6,0,0,0,0,0,0
171,M52407,M,299.4,309.4,1544,38.1,192,0,0,0,0,0,0
172,L23338,L,299.9,310.7,1292,48.1,162,0,0,0,0,0,0
173,L86289,L,298.6,307.8,1247,40.2,174,0,0,0,0,0,0
174,L81520,L,302.2,310.4,1752,40.0,33,0,0,0,0,0,0
175,M28895,M,295.3,304.3,1393,41.5,62,0,0,0,0,0,0
176,L57910,L,298.9,310.0,1813,54.6,8,0,0,0,0,0,0
177,M75898,M,301.6,311.5,1655,41.8,89,0,0,0,0,0,0
178,L13454,L,299.4,309.5,1400,50.9,199,0,0,0,0,0,0
179,H96540,H,298.4,307.3,1746,50.3,18,0,0,0,0,0,0
180,L70797,L,300.9,310.9,1372,38.3,153,0,0,0,0,0,0
181,L93137,L,301.8,310.8,1278,39.2,173,0,0,0,0,0,0
182,L60637,L,300.4,309.5,1382,36.1,55,0,0,0,0,0,0
183,H15349,H,298.4,308.0,1675,52.7,9,0,0,0,0,0,0
184,M49963,M,300.9,311.4,1741,30.5,119,0,0,0,0,0,0
185,L85583,L,299.2,309.7,1467,32.7,170,0,0,0,0,0,0
186,M17750,M,301.5,312.1,1203,37.1,157,0,0,0,0,0,0
187,M32463,M,303.0,311.4,1259,28.5,39,1,0,1,0,0,0
188,L84935,L,294.8,304.8,1346,34.0,227,0,0,0,0,0,0
189,L68792,L,300.2,310.0,1306,51.2,182,0,0,0,0,0,0
190,L23686,L,296.5,305.0,1585,46.4,185,0,0,0,0,0,0
191,L73528,L,304.9,314.9,1884,35.7,30,0,0,0,0,0,0
192,M32787,M,299.1,308.8,1680,47.9,199,0,0,0,0,0,0
193,H24776,H,301.5,312.0,1336,60.6,233,1,0,0,0,1,0
194,M67427,M,299.9,310.0,1413,43.0,46,0,0,0,0,0,0
195,L71086,L,298.4,307.8,1448,54.0,204,1,0,0,0,1,0
196,L73308,L,298.2,309.1,1607,48.4,36,0,0,0,0,0,0
197,M25797,M,303.2,311.0,1819,37.0,221,0,0,0,0,0,0
198,M15302,M,301.9,311.8,1454,41.9,184,0,0,0,0,0,0
199,M73172,M,303.9,312.1,1813,45.1,78,0,0,0,0,0,0
200,M48059,M,300.1,309.2,1914,32.5,184,0,0,0,0,0,0
201,M10908,M,300.6,311.1,1475,13.9,98,0,0,0,0,0,0
202,L70252,L,299.5,308.2,1470,31.6,130,0,0,0,0,0,0
203,L90659,L,299.4,308.0,1473,18.4,156,0,0,0,0,0,0
204,M22877,M,297.9,310.3,1549,32.4,215,0,0,0,0,0,0
205,M24239,M,300.2,308.8,1473,22.9,44,0,0,0,0,0,0
206,L96971,L,298.4,310.1,1696,48.7,86,0,0,0,0,0,0
207,L37313,L,300.9,310.7,1260,28.1,72,0,0,0,0,0,0
208,M52103,M,300.3,309.8,1442,45.3,1,0,0,0,0,0,0
209,L58408,L,300.6,311.1,1596,47.5,142,0,0,0,0,0,0
210,L93251,L,303.4,314.7,1693,46.9,223,0,0,0,0,0,0
211,L98771,L,299.9,308.8,1930,21.3,145,0,0,0,0,0,0
212,M20534,M,301.5,311.0,1307,51.1,246,1,0,0,0,1,0
213,M53060,M,304.1,314.9,1421,44.1,156,0,0,0,0,0,0
214,L27189,L,302.6,312.9,1132,47.9,39,0,0,0,0,0,0
215,M96067,M,302.3,313.4,1339,58.1,2,0,0,0,0,0,0
216,L20967,L,299.4,309.9,1221,47.8,224,0,0,0,0,0,0
217,L91991,L,300.5,312.3,1444,28.1,57,0,0,0,0,0,0
218,M75563,M,297.4,307.5,1497,46.4,70,0,0,0,0,0,0
219,M18660,M,301.0,311.2,1622,24.9,93,0,0,0,0,0,0
220,M49823,M,300.5,310.9,1484,39.3,218,0,0,0,0,0,0
221,M65842,M,300.0,309.9,1622,34.9,165,0,0,0,0,0,0
222,L19616,L,302.1,312.9,1558,40.0,156,0,0,0,0,0,0
223,L85976,L,297.6,307.8,1353,24.9,158,0,0,0,0,0,0
224,L58738,L,303.3,314.1,1236,26.0,125,0,0,0,0,0,0
225,L23107,L,301.8,312.7,1642,35.4,192,0,0,0,0,0,0
226,L71404,L,299.9,310.3,1832,37.7,104,0,0,0,0,0,0
227,H25954,H,299.7,310.2,1991,35.7,42,0,0,0,0,0,0
228,L26943,L,301.0,310.0,1705,54.3,154,0,0,0,0,0,0
229,M50725,M,303.0,312.5,1798,44.1,154,0,0,0,0,0,0
230,M55434,M,300.2,311.0,1620,43.8,117,0,0,0,0,0,0
231,M95751,M,300.3,311.7,1592,36.1,220,0,0,0,0,0,0
232,L20110,L,300.0,308.1,1557,26.0,68,0,0,0,0,0,0
233,L97091,L,303.6,313.0,1519,39.9,2,0,0,0,0,0,0
234,L26462,L,299.3,309.3,1646,57.9,156,0,0,0,0,0,0
235,L89232,L,299.9,309.1,1444,42.1,232,1,1,0,0,0,0
236,M64081,M,302.9,312.1,1511,51.0,102,0,0,0,0,0,0
237,L62799,L,300.3,310.8,1327,52.2,243,1,0,0,0,1,0
238,L76567,L,302.3,313.9,1623,45.5,140,0,0,0,0,0,0
239,M99301,M,298.2,306.1,1366,42.1,96,1,0,1,0,0,0
240,L61224,L,299.6,309.4,1544,30.1,59,0,0,0,0,0,0
241,H66063,H,303.0,313.4,1627,37.8,83,0,0,0,0,0,0
242,H65240,H,298.6,309.4,1642,36.3,66,0,0,0,0,0,0
243,H91352,H,299.7,310.0,1676,43.2,197,0,0,0,0,0,0
244,L27868,L,300.5,312.3,1499,25.8,106,0,0,0,0,0,0
245,L85973,L,298.0,308.1,1625,34.5,80,0,0,0,0,0,0
246,H90989,H,299.2,310.5,1450,43.9,122,0,0,0,0,0,0
247,L32222,L,300.2,309.6,1185,32.9,46,0,0,0,0,0,0
248,H89794,H,300.1,310.2,1632,30.8,195,0,0,0,0,0,0
249,H73924,H,302.6,311.3,1591,32.0,96,0,0,0,0,0,0
250,M88513,M,303.1,314.0,1719,37.2,160,0,0,0,0,0,0
251,L64649,L,298.3,308.2,1533,16.2,5,0,0,0,0,0,0
252,L93749,L,300.2,310.6,1251,32.5,117,0,0,0,0,0,0
253,M20223,M,301.3,311.0,1521,49.4,191,0,0,0,0,0,0
254,L58166,L,303.0,313.6,1696,43.1,232,0,0,0,0,0,0
255,L49369,L,301.4,311.8,1623,44.1,77,0,0,0,0,0,0
256,L96379,L,300.6,309.6,1511,21.7,237,0,0,0,0,0,0
257,H79392,H,301.3,310.4,1240,35.8,198,0,0,0,0,0,0
258,M69526,M,301.3,311.3,1354,38.7,69,0,0,0,0,0,0
259,L22661,L,298.1,308.8,1623,44.5,178,0,0,0,0,0,0
260,L25591,L,300.4,312.2,1239,51.0,66,0,0,0,0,0,0
261,M81718,M,302.9,313.2,1481,49.4,100,0,0,0,0,0,0
262,H65235,H,299.6,310.6,1544,34.1,149,0,0,0,0,0,0
263,L17970,L,300.3,308.6,1743,34.3,229,0,0,0,0,0,0
264,L57922,L,299.5,311.5,1647,54.0,199,0,0,0,0,0,0
265,M40755,M,295.4,306.0,1710,36.3,23,0,0,0,0,0,0
266,M29416,M,300.0,310.0,1592,29.1,204,0,0,0,0,0,0
267,M23672,M,300.6,310.4,1386,37.8,204,0,0,0,0,0,0
268,M93468,M,299.0,307.9,1428,53.3,64,0,0,0,0,0,0
269,L56996,L,297.7,306.9,1371,30.9,242,0,0,0,0,0,0
270,L84095,L,298.2,310.1,1643,35.6,180,0,0,0,0,0,0
271,M10064,M,301.5,310.5,1413,31.3,127,0,0,0,0,0,0
272,M78835,M,303.9,312.9,1467,49.4,168,0,0,0,0,0,0
273,M80385,M,302.8,312.1,1542,42.8,99,0,0,0,0,0,0
274,H15639,H,297.3,306.1,1831,49.1,31,0,0,0,0,0,0
275,L21055,L,301.7,311.7,1655,55.5,68,0,0,0,0,0,0
276,L69220,L,298.7,309.8,1399,24.8,240,1,1,0,0,0,0
277,M97594,M,298.8,308.2,1565,32.3,70,0,0,0,0,0,0
278,M39427,M,299.1,307.7,1833,35.6,241,0,0,0,0,0,0
279,M92516,M,301.4,311.7,1648,40.6,44,0,0,0,0,0,0
280,M74666,M,301.9,311.9,1251,44.9,31,0,0,0,0,0,0
281,M74274,M,299.8,310.8,1374,35.0,27,0,0,0,0,0,0
282,L20866,L,299.8,309.4,1360,33.0,96,0,0,0,0,0,0
283,L13889,L,300.9,310.7,1795,49.4,237,1,1,0,0,1,0
284,L58226,L,301.1,311.0,1762,45.3,13,0,0,0,0,0,0
285,L41335,L,302.4,312.4,1426,43.0,140,0,0,0,0,0,0
286,L60547,L,297.4,307.0,1422,18.5,220,0,0,0,0,0,0
287,L36162,L,300.0,309.5,1545,51.9,177,0,0,0,0,0,0
288,L99449,L,297.9,306.0,1551,41.7,167,0,0,0,0,0,0
289,L34687,L,299.9,309.3,1365,38.3,128,0,0,0,0,0,0
290,L20995,L,299.5,310.3,1493,31.7,174,0,0,0,0,0,0
291,L66488,L,299.9,310.8,1277,33.6,112,0,0,0,0,0,0
292,L12631,L,298.4,307.9,1765,31.0,112,0,0,0,0,0,0
293,M44954,M,297.0,308.3,1222,20.0,218,0,0,0,0,0,0
294,L15967,L,295.8,305.8,1220,31.8,29,0,0,0,0,0,0
295,L98294,L,299.7,308.4,1615,24.0,33,0,0,0,0,0,0
296,L97278,L,299.1,307.5,1316,39.3,45,1,0,1,0,0,0
297,M74471,M,298.6,309.9,1448,28.4,0,0,0,0,0,0,0
298,L47116,L,302.6,312.3,1549,47.2,161,0,0,0,0,0,0
299,M44227,M,298.3,307.1,1658,23.3,186,0,0,0,0,0,0
300,L11942,L,302.8,310.6,1498,51.8,134,0,0,0,0,0,0
301,L57664,L,303.2,312.9,1856,48.2,192,0,0,0,0,0,0
302,L38069,L,296.1,306.5,1537,29.3,169,0,0,0,0,0,0
303,L97342,L,300.2,309.5,1751,39.0,209,0,0,0,0,0,0
304,M24407,M,299.2,308.1,1587,31.4,226,0,0,0,0,0,0
305,M69201,M,294.2,303.6,1919,45.7,241,0,0,0,0,0,0
306,H90093,H,297.1,308.4,1727,57.8,18,0,0,0,0,0,0
307,L64348,L,301.5,310.2,1545,51.7,140,0,0,0,0,0,0
308,L91981,L,304.0,313.4,1650,33.1,22,0,0,0,0,0,0
309,M27878,M,301.8,313.0,1491,41.0,65,0,0,0,0,0,0
310,L93100,L,300.6,311.1,1489,55.1,130,0,0,0,0,0,0
311,L88629,L,300.0,310.1,1304,45.1,85,0,0,0,0,0,0
312,L65420,L,303.4,312.7,1393,50.0,163,0,0,0,0,0,0
313,L53168,L,304.3,314.3,1906,46.4,176,0,0,0,0,0,0
314,H64862,H,298.8,308.3,1322,40.7,199,0,0,0,0,0,0
315,M99622,M,296.0,305.1,1420,39.2,86,0,0,0,0,0,0
316,M92025,M,295.8,304.7,1521,27.8,71,0,0,0,0,0,0
317,L38004,L,302.6,313.4,1527,32.3,184,0,0,0,0,0,0
318,L30471,L,299.9,309.8,1606,30.9,88,0,0,0,0,0,0
319,L70167,L,300.4,310.7,1454,36.4,226,0,0,0,0,0,0
320,L93828,L,296.4,306.6,1617,40.9,191,0,0,0,0,0,0
321,L75308,L,298.5,308.9,1742,38.8,110,0,0,0,0,0,0
322,M93969,M,299.4,309.2,1764,42.1,138,0,0,0,0,0,0
323,M24568,M,300.4,309.9,1490,46.5,40,0,0,0,0,0,0
324,L19466,L,299.2,308.4,1647,35.8,234,0,0,0,0,0,0
325,H67324,H,297.9,306.5,1332,47.3,5,1,0,1,0,0,0
326,M25467,M,298.4,307.3,1408,51.2,105,0,0,0,0,0,0
327,L85955,L,302.4,312.1,1327,44.0,233,0,0,0,0,0,0
328,M62948,M,300.5,308.9,1529,34.5,241,0,0,0,0,0,0
329,L26676,L,301.2,309.8,1384,49.3,44,0,0,0,0,0,0
330,L41514,L,298.2,309.2,1265,44.7,208,0,0,0,0,0,0
331,L32650,L,294.1,304.3,1468,46.1,227,0,0,0,0,0,0
332,M98290,M,299.0,308.5,1228,55.2,184,0,0,0,0,0,0
333,L87701,L,298.3,310.5,1775,47.0,81,0,0,0,0,0,0
334,L20683,L,300.7,309.0,1438,55.6,160,0,0,0,0,0,0
335,L69819,L,306.6,317.5,1714,38.4,188,0,0,0,0,0,0
336,L90978,L,301.4,311.3,1449,35.6,17,0,0,0,0,0,0
337,M14860,M,305.5,316.3,1324,51.3,6,0,0,0,0,0,0
338,M13729,M,301.1,311.2,1748,30.1,28,0,0,0,0,0,0
339,L41351,L,298.7,306.9,1553,58.7,196,1,0,0,0,1,0
340,L72744,L,300.7,310.8,1875,52.9,143,0,0,0,0,0,0
341,L34346,L,303.6,313.9,1454,40.8,222,0,0,0,0,0,0
342,L84155,L,303.7,311.5,1458,51.9,196,0,0,0,0,0,0
343,L86700,L,298.8,310.8,1717,46.5,73,0,0,0,0,0,0
344,L16955,L,300.5,310.8,1719,27.1,156,0,0,0,0,0,0
345,L75642,L,297.1,307.8,1565,31.8,156,0,0,0,0,0,0
346,M80290,M,301.6,310.5,2135,42.7,15,0,0,0,0,0,0
347,M54293,M,303.1,313.8,1487,41.5,3,0,0,0,0,0,0
348,L71336,L,300.1,311.2,1310,52.9,64,0,0,0,0,0,0
349,L31662,L,298.7,308.9,1358,42.9,71,0,0,0,0,0,0
350,M16408,M,300.7,310.7,1488,27.3,219,0,0,0,0,0,0
351,L50403,L,300.8,309.9,1809,34.5,128,0,0,0,0,0,0
352,M11225,M,300.2,309.9,1504,47.3,249,0,0,0,0,0,0
353,M22196,M,300.4,309.8,1818,21.7,219,0,0,0,0,0,0
354,L79786,L,299.7,310.2,1615,25.8,130,0,0,0,0,0,0
355,L25372,L,302.0,311.1,1731,36.2,63,0,0,0,0,0,0
356,M27279,M,301.5,312.0,1607,49.1,241,0,0,0,0,0,0
357,L64240,L,298.0,307.2,1605,37.7,65,0,0,0,0,0,0
358,L48187,L,298.0,307.7,1672,44.5,88,0,0,0,0,0,0
359,H58481,H,299.5,310.1,1436,39.9,56,0,0,0,0,0,0
360,L38475,L,301.5,310.8,1438,38.5,100,0,0,0,0,0,0
361,L54552,L,300.3,310.9,1600,33.4,202,1,1,0,0,0,0
362,M77969,M,298.7,309.3,1885,48.3,109,0,0,0,0,0,0
363,L86534,L,300.5,310.3,1262,27.4,17,0,0,0,0,0,0
364,L16858,L,299.3,310.5,1174,37.6,105,0,0,0,0,0,0
365,H84486,H,301.8,311.8,1490,51.3,38,0,0,0,0,0,0
366,L84474,L,300.7,311.8,1722,32.3,231,0,0,0,0,0,0
367,H35168,H,299.4,311.2,1547,24.4,123,0,0,0,0,0,0
368,H42099,H,300.5,310.2,1328,18.8,120,0,0,0,0,0,0
369,L81180,L,302.6,313.3,1552,46.5,83,0,0,0,0,0,0
370,L71455,L,298.9,308.2,1227,47.2,208,0,0,0,0,0,0
371,L64240,L,300.8,309.8,1650,36.5,6,0,0,0,0,0,0
372,L84796,L,299.9,309.7,1482,27.2,182,0,0,0,0,0,0
373,L64592,L,300.9,309.5,1523,38.4,111,0,0,0,0,0,0
374,M57458,M,298.7,307.8,1614,51.6,144,0,0,0,0,0,0
